Date,Open,High,Low,Close,Volume,Adj Close
1997-01-02,98.25,98.5,96.5,98.375,9245200,15.201879000000002
1997-01-03,98.875,100.125,98.5,98.625,7051200,15.240510999999998
1997-01-06,99.0,100.125,98.875,100.0,7102000,15.45299
1997-01-07,99.625,100.25,99.0,100.25,9213200,15.491622
1997-01-08,100.75,100.875,98.75,99.5,6920400,15.375725
1997-01-09,99.25,103.25,99.25,102.875,10827200,15.897263
1997-01-10,102.125,106.0,101.875,105.75,11054000,16.341537
1997-01-13,106.0,106.125,102.25,103.125,9358800,15.935896
1997-01-14,103.5,104.75,103.125,103.625,7098400,16.013161
1997-01-15,102.5,105.5,102.5,104.0,9226800,16.07111
1997-01-16,104.25,104.875,102.625,103.25,6857600,15.955212
1997-01-17,103.125,103.75,102.5,102.875,9993600,15.897263
1997-01-20,103.0,103.5,101.625,102.5,5023600,15.839315
1997-01-21,101.875,104.25,101.375,103.625,7596000,16.013161
1997-01-22,103.5,106.5,102.5,106.0,9370000,16.380169
1997-01-23,106.875,107.0,102.5,102.875,7541200,15.897263
1997-01-24,102.75,102.75,100.25,100.25,9476000,15.491622
1997-01-27,100.875,103.75,100.625,103.25,10231600,15.955212
1997-01-28,104.625,104.625,100.375,100.5,7806800,15.530254999999999
1997-01-29,100.5,103.5,99.75,103.25,9167600,15.955212
1997-01-30,103.5,104.375,102.375,104.125,7275600,16.090426
1997-01-31,104.5,104.875,102.75,103.625,7671200,16.013161
1997-02-03,103.625,103.625,101.875,102.25,4998400,15.800682
1997-02-04,102.625,103.375,102.125,103.375,4296400,15.974528
1997-02-05,104.0,105.25,102.625,102.875,7312400,15.897263
1997-02-06,101.875,102.125,100.375,101.875,6778000,15.864560999999998
1997-02-07,102.0,103.0,100.125,101.0,6350400,15.7283
1997-02-10,101.375,102.125,100.125,100.125,7146400,15.592039999999999
1997-02-11,100.5,101.625,100.125,101.625,7511600,15.825629000000001
1997-02-12,101.875,103.375,101.75,103.0,6398800,16.039752
1997-02-13,103.75,104.375,103.375,104.0,6218800,16.195478
1997-02-14,103.75,104.75,103.375,103.875,5278800,16.176012
1997-02-18,104.625,104.625,102.5,104.125,6079600,16.214942999999998
1997-02-19,104.125,104.875,103.125,103.25,6006000,16.078682999999998
1997-02-20,102.75,104.5,102.75,103.125,5407600,16.059217999999998
1997-02-21,103.0,104.25,102.875,103.75,7830400,16.156546
1997-02-24,103.75,104.0,102.5,102.625,5684800,15.981354999999999
1997-02-25,102.625,103.875,101.5,103.5,7982400,16.117615
1997-02-26,103.25,103.625,101.0,102.125,8542800,15.903492000000002
1997-02-27,102.25,102.375,99.875,99.875,6464400,15.553109
1997-02-28,100.0,101.5,99.875,100.25,8335200,15.611506
1997-03-03,99.0,100.125,98.875,99.25,7055200,15.455779999999999
1997-03-04,99.125,101.0,99.125,100.0,6320000,15.572575
1997-03-05,100.625,101.5,100.5,101.25,4801200,15.767232
